antimuslim1_1,antimuslim1_2,antimuslim1_3,antimuslim1_4,antimuslim2_1,antimuslim2_2,antimuslim2_3,antimuslim2_4,antimuslim3_1,antimuslim3_2,antimuslim3_3,antimuslim3_4,filler1_1,filler1_2,filler1_3,filler1_4,filler2_1,filler2_2,filler2_3,filler2_4,filler3_1,filler3_2,filler3_3,filler3_4,politicians1_1,politicians1_2,politicians1_3,politicians1_4,politicians2_1,politicians2_2,politicians2_3,politicians2_4,politicians3_1,politicians3_2,politicians3_3,politicians3_4,age,gender,race,race_text,religion,religion_text,conservative,democrat,filler_1,filler_2,filler_3,muslim1,muslim2,muslim3,muslim4,muslim5,muslim6,muslims7,politicians_1,politicians_2,politicians_3,politicians_4,politicians_5,politicians_6,politicians_7
6,5,4,6,5,7,6,4,6,4,7,5,4,6,7,5,6,7,5,4,4,5,6,6,7,4,6,5,3,4,2,4,3,4,4,5,25,2,8, ,10, ,7,6,6,7,7,7,5,5,6,4,5,5,5,6,4,4,6,3,5
3,4,5,5,4,5,3,3,2,4,3,3,5,5,4,5,5,6,5,6,6,6,6,5,5,5,6,6,5,7,6,6,5,6,6,6,20,1,8, ,4, ,2,6,6,7,7,1,4,4,5,6,6,6,4,1,2,5,7,1,2
5,4,4,6,5,5,5,5,5,5,5,5,5,5,4,3,5,3,4,4,5,3,4,4,6,6,6,6,5,5,5,5,5,5,5,5,31,2,5, ,1, ,2,6,6,5,7,2,3,4,5,3,5,5,2,2,3,5,5,3,3
7,7,7,7,7,7,7,7,6,7,6,7,2,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,5,6,6,6,5,7,7,7,48,1,8, ,4, ,4,2,7,6,3,2,4,4,6,2,5,4,2,2,1,2,4,3,4
6,5,6,6,6,4,6,6,6,6,6,6,6,4,6,6,4,5,5,5,4,4,4,4,6,4,4,4,6,6,4,2,4,4,4,4,58,1,2, ,1, ,4,4,5,6,6,5,6,2,4,4,4,3,2,4,2,6,4,2,2
5,2,3,3,5,6,3,3,3,2,1,2,6,1,2,3,6,2,2,3,5,2,2,3,5,2,2,3,6,2,2,2,6,3,2,3,36,2,5, ,4, ,4,5,6,2,7,1,1,7,4,4,4,4,5,4,4,2,2,4,5
5,5,5,5,5,5,5,5,6,6,6,6,5,6,5,5,5,5,5,6,5,6,5,5,6,5,5,5,5,6,5,6,5,6,5,5,33,2,8, ,4, ,4,4,6,6,5,4,4,4,4,4,4,4,5,5,5,5,4,4,4
6,6,6,6,6,6,6,6,5,6,6,6,7,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,31,1,8, ,11,pagan,2,4,6,6,6,5,5,3,5,4,4,4,2,2,1,7,7,1,1
4,5,4,5,5,5,4,5,4,4,5,5,4,5,4,4,4,5,4,4,5,4,4,5,4,4,4,5,4,4,4,5,4,4,4,5,28,2,8, ,1, ,4,4,5,5,5,5,5,3,3,3,3,3,4,3,3,5,4,3,4
5,3,5,5,5,3,5,5,5,3,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,5,7,7,7,5,7,7,45,1,3, ,11,Spirituality,1,5,6,7,7,1,2,4,4,4,4,4,6,3,4,1,4,4,2
6,6,6,6,5,5,5,5,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,30,2,2, ,1, ,2,5,4,5,6,4,3,5,4,4,4,4,4,3,4,2,5,2,5
7,7,7,7,7,7,7,7,6,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,6,7,7,7,1,7,7,57,2,8, ,10, ,5,3,7,7,7,5,2,5,1,1,5,5,1,2,3,1,5,3,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,44,1,8, ,1, ,2,6,2,4,7,1,1,7,7,7,7,7,4,3,4,4,4,4,3
6,7,6,6,7,7,6,6,6,7,6,6,6,5,4,4,5,6,4,4,5,6,4,4,7,7,6,6,7,6,5,5,6,7,6,6,26,2,8, ,11,Christian,5,3,4,6,7,2,4,6,5,5,4,5,4,2,4,6,5,4,2
7,6,4,5,5,4,4,5,1,3,6,4,5,7,3,4,3,5,4,3,4,3,3,4,5,5,4,4,7,5,6,4,7,5,6,4,45,1,8, ,11,interdenominational,4,4,6,4,7,4,4,6,2,5,4,6,5,7,1,7,7,4,3
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,25,2,8, ,2, ,3,5,4,7,6,3,2,6,4,4,4,4,4,2,4,4,6,3,4
4,5,4,5,3,4,3,4,5,4,5,4,5,4,3,4,4,3,4,4,3,4,3,3,5,5,4,5,5,5,6,5,4,5,5,4,28,2,3, ,4, ,5,6,5,4,6,5,6,4,4,3,4,4,2,2,2,5,5,3,4
4,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,23,2,8, ,3, ,3,4,7,6,4,1,1,7,7,7,7,7,1,1,1,7,7,1,1
