expression_1_TEXT,expression_2_TEXT,expression_3_TEXT,expression_4_TEXT,expression_5_TEXT,expression_6_TEXT,expression_7_TEXT,expression_8_TEXT,expression_9_TEXT,expression_10_TEXT,suppression_1_TEXT,suppression_2_TEXT,suppression_3_TEXT,suppression_4_TEXT,suppression_5_TEXT,suppression_6_TEXT,suppression_7_TEXT,suppression_8_TEXT,suppression_9_TEXT,suppression_10_TEXT,nowill_auth_gen,nowill_true_honest,nowill_pc,nowill_careful_polite,lazy_auth_gen,lazy_true_honest,lazy_pc,lazy_careful_polite,enviro_auth_gen,enviro_true_honest,enviro_pc,enviro_careful_polite,genes_auth_gen,genes_true_honest,genes_pc,genes_careful_polite,age,gender,gender_TEXT,race,conserv,democrat,prej_1,prej_2,prej_3,prej_4,prej_5,prej_6,prej_7,filler_1,filler_2,filler_3,cond
They're predisposed genetically to accumulate more fat than others,They may have not had a good diet growing up,Their diet may be unhealthy,Their metabolism may be slow,It's hard to work up motivation to make life changes necessary to lose weight,They have yet to learn how to maintain a healthy weight,,,,,,,,,,,,,,,5,5,2,2,3,5,2,2,5,5,6,2,5,5,5,5,24,0,,asian american,1,6,2,6,2,1,2,2,2,2,2,5,Expression
"Be always busy, not being able to eat healthy food at home",Diet high in fat and calories,"It is hereditary, it comes from family",They have an impulse to eat,It is a disease,They have anxiety they can not stop eating,Problems of the thyroid gland,They like to be fat,Do not exercise,Eat a lot of junk food,,,,,,,,,,,5,6,3,1,6,7,3,1,6,6,5,2,7,7,4,3,26,0,,Hispanic/Latino,4,5,2,1,1,1,1,2,1,5,3,6,Expression
low IQ,poor self control,digusting,poor habbits,low EQ,binge eating,laziness,greed,gluttony,low education,,,,,,,,,,,7,7,1,1,7,7,1,7,5,5,4,5,1,1,1,7,26,0,,white,7,1,7,7,7,7,7,7,7,7,7,7,Expression
Depressed,Genetically predisposed,Inactive,Hormone Embalance,Hypothyroidism,Lazy,,,,,,,,,,,,,,,7,7,1,1,7,7,1,1,3,3,7,7,5,5,7,7,60,0,,African American / Caucasian,1,7,1,3,1,1,1,1,1,3,3,3,Expression
low self esteem,poor upbringing,lazy and undisciplined parents,lack of a two parent home when growing up,lived with a singe parent,had to go to day care when young,laziness,no discipline,no roll model at home,poor family that doesn't value exercise and education,,,,,,,,,,,6,6,4,4,7,7,2,2,7,7,4,4,2,2,6,6,56,1,,american,7,4,7,7,2,4,6,6,7,6,6,1,Expression
They are lazy people ,,,,,,,,,,,,,,,,,,,,6,6,4,4,7,7,4,3,3,3,5,5,4,4,5,5,61,0,,White ,5,3,5,5,4,4,4,3,4,5,4,3,Expression
Poor diet,lack of exercise,no self-control,metabolic disorders,inability to be honest with themselves,depression,eating as a coping mechanism,,,,,,,,,,,,,,6,6,2,2,7,6,2,2,4,4,6,6,5,5,5,6,32,0,,white/caucasian,3,5,1,2,2,1,2,1,3,5,7,3,Expression
They chronically overeat,they have a hypothamic imbalance,they have hormone imbalances,they recently gave birth,they suffer from depression,they suffer from an eating disorder,They do not exercise,,,,,,,,,,,,,,3,5,2,2,4,4,5,4,6,6,6,3,6,6,6,2,27,0,,Caucasian,5,3,2,2,2,1,2,1,2,5,5,5,Expression
Depression,Lack of self control,Eating disorder,Thyroid issue,Medication side effect,Sedentary lifestyle,Pure laziness,Slow metabolism,Poor nutrition in food,Fetish,,,,,,,,,,,4,5,3,2,6,6,5,2,7,6,4,3,7,7,6,4,23,0,,White,4,4,1,2,2,2,1,1,1,7,7,7,Expression
Are not active,Low self esteem,focus on food to be happy,like to eat too much,lack of self control,under educated,lower income levels,lack of self respect,lazy,dont care about being a better person,,,,,,,,,,,6,6,2,4,6,6,3,2,6,6,2,2,2,2,6,7,40,1,,White,4,4,3,2,2,5,5,2,3,6,6,6,Expression
eat a lot,dont exercise,dont tak ecare of htemselves,depression,anxiety ,bullying ,genes,hormones ,abusive by partners,dont love themselves,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,32,0,,white,4,4,1,1,1,1,1,1,1,1,1,1,Expression
Genetics,Thyroid problems,Diabetes,Health issues,Depression,Diet high in fat,Lack of exercise,Slow metabolism,American diet,Laziness,,,,,,,,,,,6,6,2,2,6,6,2,2,5,5,3,3,6,6,6,6,37,0,,White,4,4,2,2,2,2,2,3,2,5,3,5,Expression
They are lazy,They eat too much,Genetics is not their friend,The do not exercise,Eat too much junk food,Eat or drink too much sugar,Sedentary lifestyle,Sitting at a desk for many hours at work,Holiday eating,Alcoholic intake,,,,,,,,,,,6,6,2,2,6,6,2,2,6,6,3,3,6,6,5,5,52,1,,white,6,3,4,3,2,2,3,3,6,5,6,5,Expression
"Usually nice, some mean.",Regular person.,Need a strict diet.,Can be lazy.,Tall.,,,,,,,,,,,,,,,,5,5,5,3,5,5,4,1,3,4,3,2,5,5,5,3,27,0,,Hispanic,3,5,1,3,1,1,1,1,1,1,1,1,Expression
